video_id,source_folder,video_name,original_video_filename,unique_video_filename,file_size_bytes,file_size_mb,file_created_at,file_modified_at,video_duration_sec,video_fps,video_resolution_wxh,video_codec,camera_model,recording_datetime,exif_filename
day_2_3_23_2026_00.1_fda4cdcc,day_2_3_23_2026,00.1,00.1.MP4,day_2_3_23_2026_00.1.MP4_fda4cdcc,3603851262,3436.9003887176514,2026-05-30 19:44:17.430,2026-05-30 19:44:17.430,481.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 13:34:42,day_2_3_23_2026_00.1_fda4cdcc_exif.txt
day_2_3_23_2026_00.2_1499055c,day_2_3_23_2026,00.2,00.2.MP4,day_2_3_23_2026_00.2.MP4_1499055c,11517006239,10983.473052024841,2026-05-30 23:43:36.750,2026-05-30 23:43:36.750,1538.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 13:34:42,day_2_3_23_2026_00.2_1499055c_exif.txt
day_2_3_23_2026_Itinerary_19.1_ae46d063,day_2_3_23_2026,Itinerary_19.1,Itinerary_19.1.MP4,day_2_3_23_2026_Itinerary_19.1.MP4_ae46d063,9788121519,9334.68009853363,2026-05-30 21:03:13.520,2026-05-30 21:03:13.520,1306.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 10:09:28,day_2_3_23_2026_Itinerary_19.1_ae46d063_exif.txt
day_2_3_23_2026_Itinerary_19.2_bd215bf6,day_2_3_23_2026,Itinerary_19.2,Itinerary_19.2.MP4,day_2_3_23_2026_Itinerary_19.2.MP4_bd215bf6,11527053396,10993.054767608643,2026-05-30 23:45:44.580,2026-05-30 23:45:44.580,1538.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 10:42:01,day_2_3_23_2026_Itinerary_19.2_bd215bf6_exif.txt
day_2_3_23_2026_Itinerary_19.3_753bf59e,day_2_3_23_2026,Itinerary_19.3,Itinerary_19.3.MP4,day_2_3_23_2026_Itinerary_19.3.MP4_753bf59e,11523074554,10989.260248184204,2026-05-30 23:46:00.980,2026-05-30 23:46:00.980,1538.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 10:42:01,day_2_3_23_2026_Itinerary_19.3_753bf59e_exif.txt
day_2_3_23_2026_Itinerary_19.4_f0978275,day_2_3_23_2026,Itinerary_19.4,Itinerary_19.4.MP4,day_2_3_23_2026_Itinerary_19.4.MP4_f0978275,4359845772,4157.872936248779,2026-05-30 19:59:44.750,2026-05-30 19:59:44.750,581.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 10:42:01,day_2_3_23_2026_Itinerary_19.4_f0978275_exif.txt
day_2_3_23_2026_Itinerary_19.5_2aa346a1,day_2_3_23_2026,Itinerary_19.5,Itinerary_19.5.MP4,day_2_3_23_2026_Itinerary_19.5.MP4_2aa346a1,11343143520,10817.664642333984,2026-05-30 23:45:59.610,2026-05-30 23:45:59.610,1513.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 11:44:31,day_2_3_23_2026_Itinerary_19.5_2aa346a1_exif.txt
day_2_3_23_2026_Itinerary_19.6 & 64.1_6918ce8a,day_2_3_23_2026,Itinerary_19.6 & 64.1,Itinerary_19.6 & 64.1.MP4,day_2_3_23_2026_Itinerary_19.6 & 64.1.MP4_6918ce8a,11152081539,10635.453738212585,2026-05-30 23:45:48.300,2026-05-30 23:45:48.300,1488.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 12:12:44,day_2_3_23_2026_Itinerary_19.6 & 64.1_6918ce8a_exif.txt
day_2_3_23_2026_Itinerary_21.1_83bc3ffb,day_2_3_23_2026,Itinerary_21.1,Itinerary_21.1.MP4,day_2_3_23_2026_Itinerary_21.1.MP4_83bc3ffb,11524949442,10991.048280715942,2026-05-30 23:47:44.100,2026-05-30 23:47:44.100,1538.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 08:18:27,day_2_3_23_2026_Itinerary_21.1_83bc3ffb_exif.txt
day_2_3_23_2026_Itinerary_21.2_729bd686,day_2_3_23_2026,Itinerary_21.2,Itinerary_21.2.MP4,day_2_3_23_2026_Itinerary_21.2.MP4_729bd686,4996088678,4764.641454696655,2026-05-30 20:18:46.480,2026-05-30 20:18:46.480,667.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 08:18:27,day_2_3_23_2026_Itinerary_21.2_729bd686_exif.txt
day_2_3_23_2026_Itinerary_21.3_dd9c3a3e,day_2_3_23_2026,Itinerary_21.3,Itinerary_21.3.MP4,day_2_3_23_2026_Itinerary_21.3.MP4_dd9c3a3e,1036031418,988.0365543365479,2026-05-30 19:12:47.320,2026-05-30 19:12:47.320,138.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 10:00:32,day_2_3_23_2026_Itinerary_21.3_dd9c3a3e_exif.txt
day_2_3_23_2026_Itinerary_23.1_c51f22eb,day_2_3_23_2026,Itinerary_23.1,Itinerary_23.1.MP4,day_2_3_23_2026_Itinerary_23.1.MP4_c51f22eb,11527442008,10993.42537689209,2026-05-30 20:25:41.220,2026-05-30 20:25:41.220,1538.0,59.94005994,3840x3360,hvc1,HERO13 Black,2026:03:23 06:28:57,day_2_3_23_2026_Itinerary_23.1_c51f22eb_exif.txt
