video_id,source_folder,video_name,original_video_filename,unique_video_filename,file_size_bytes,file_size_mb,file_created_at,file_modified_at,video_duration_sec,video_fps,video_resolution_wxh,video_codec,camera_model,recording_datetime,exif_filename,exif_file_path,exif_relative_path
1_itinerary_2_2_c20922c0,1,itinerary_2_2,itinerary_2_2.MP4,1_itinerary_2_2.MP4_c20922c0,68498640,65.32539367675781,2025-03-26 21:02:20.000,2025-03-26 21:02:20.000,,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 04:02:07,1_itinerary_2_2_c20922c0_exif.txt,exif_files/1_itinerary_2_2_c20922c0_exif.txt,../exif_files/1_itinerary_2_2_c20922c0_exif.txt
2_itinerary_1_2_d78a4abf,2,itinerary_1_2,itinerary_1_2.MP4,2_itinerary_1_2.MP4_d78a4abf,604318487,576.3230199813843,2025-03-28 20:23:24.000,2025-03-28 20:23:24.000,107.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:29 02:46:21,2_itinerary_1_2_d78a4abf_exif.txt,exif_files/2_itinerary_1_2_d78a4abf_exif.txt,../exif_files/2_itinerary_1_2_d78a4abf_exif.txt
1_itinerary_8_1_9f93eb04,1,itinerary_8_1,itinerary_8_1.MP4,1_itinerary_8_1.MP4_9f93eb04,798548593,761.5552835464478,2025-03-27 02:48:45.000,2025-03-27 02:48:45.000,142.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 09:46:22,1_itinerary_8_1_9f93eb04_exif.txt,exif_files/1_itinerary_8_1_9f93eb04_exif.txt,../exif_files/1_itinerary_8_1_9f93eb04_exif.txt
1_itinerary_2_3_4ea846af,1,itinerary_2_3,itinerary_2_3.MP4,1_itinerary_2_3.MP4_4ea846af,885512334,844.4903697967529,2025-03-26 21:07:29.000,2025-03-26 21:07:29.000,157.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 04:04:51,1_itinerary_2_3_4ea846af_exif.txt,exif_files/1_itinerary_2_3_4ea846af_exif.txt,../exif_files/1_itinerary_2_3_4ea846af_exif.txt
2_itinerary_2_2_184f0b4c,2,itinerary_2_2,itinerary_2_2.MP4,2_itinerary_2_2.MP4_184f0b4c,297260631,283.4898290634155,2025-04-12 09:03:13.520,2025-04-12 09:03:13.520,53.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:29 03:36:56,2_itinerary_2_2_184f0b4c_exif.txt,exif_files/2_itinerary_2_2_184f0b4c_exif.txt,../exif_files/2_itinerary_2_2_184f0b4c_exif.txt
2_itinerary_5_2_eeef3957,2,itinerary_5_2,itinerary_5_2.MP4,2_itinerary_5_2.MP4_eeef3957,1628301377,1552.8692026138306,2025-04-12 09:35:05.820,2025-04-12 09:35:05.820,289.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:29 09:01:36,2_itinerary_5_2_eeef3957_exif.txt,exif_files/2_itinerary_5_2_eeef3957_exif.txt,../exif_files/2_itinerary_5_2_eeef3957_exif.txt
1_itinerary_1_2_f6dfb69b,1,itinerary_1_2,itinerary_1_2.MP4,1_itinerary_1_2.MP4_f6dfb69b,2697985888,2572.9998474121094,2025-04-01 03:52:56.270,2025-04-01 03:52:56.270,479.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 03:09:56,1_itinerary_1_2_f6dfb69b_exif.txt,exif_files/1_itinerary_1_2_f6dfb69b_exif.txt,../exif_files/1_itinerary_1_2_f6dfb69b_exif.txt
2_dadar_flower_market_bbbf412d,2,dadar_flower_market,dadar_flower_market.MP4,2_dadar_flower_market.MP4_bbbf412d,3306510657,3153.3342905044556,2025-04-12 09:49:32.590,2025-04-12 09:49:32.590,587.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:29 11:00:44,2_dadar_flower_market_bbbf412d_exif.txt,exif_files/2_dadar_flower_market_bbbf412d_exif.txt,../exif_files/2_dadar_flower_market_bbbf412d_exif.txt
1_itinerary_1_1_8e5f0fc4,1,itinerary_1_1,itinerary_1_1.MP4,1_itinerary_1_1.MP4_8e5f0fc4,3390991358,3233.9013652801514,2025-04-01 03:53:40.740,2025-04-01 03:53:40.740,602.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 02:56:43,1_itinerary_1_1_8e5f0fc4_exif.txt,exif_files/1_itinerary_1_1_8e5f0fc4_exif.txt,../exif_files/1_itinerary_1_1_8e5f0fc4_exif.txt
1_itinerary_8_2_44f36245,1,itinerary_8_2,itinerary_8_2.MP4,1_itinerary_8_2.MP4_44f36245,3443556366,3284.0312633514404,2025-04-01 04:13:05.490,2025-04-01 04:13:05.490,611.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 09:49:43,1_itinerary_8_2_44f36245_exif.txt,exif_files/1_itinerary_8_2_44f36245_exif.txt,../exif_files/1_itinerary_8_2_44f36245_exif.txt
1_itinerary_7_cd6163af,1,itinerary_7,itinerary_7.MP4,1_itinerary_7.MP4_cd6163af,4398185518,4194.436567306519,2025-04-01 04:16:24.540,2025-04-01 04:16:24.540,780.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 09:24:10,1_itinerary_7_cd6163af_exif.txt,exif_files/1_itinerary_7_cd6163af_exif.txt,../exif_files/1_itinerary_7_cd6163af_exif.txt
1_itinerary_2_1_39725900,1,itinerary_2_1,itinerary_2_1.MP4,1_itinerary_2_1.MP4_39725900,5154278061,4915.502606391907,2025-04-01 03:57:00.120,2025-04-01 03:57:00.120,914.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 03:44:28,1_itinerary_2_1_39725900_exif.txt,exif_files/1_itinerary_2_1_39725900_exif.txt,../exif_files/1_itinerary_2_1_39725900_exif.txt
1_itinerary_6_895a7bd7,1,itinerary_6,itinerary_6.MP4,1_itinerary_6.MP4_895a7bd7,5701762118,5437.624090194702,2025-04-01 04:20:11.010,2025-04-01 04:20:11.010,1012.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 08:02:55,1_itinerary_6_895a7bd7_exif.txt,exif_files/1_itinerary_6_895a7bd7_exif.txt,../exif_files/1_itinerary_6_895a7bd7_exif.txt
1_itinerary_3_534fbdba,1,itinerary_3,itinerary_3.MP4,1_itinerary_3.MP4_534fbdba,5846860483,5576.000674247742,2025-04-01 03:58:23.290,2025-04-01 03:58:23.290,1037.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 05:20:02,1_itinerary_3_534fbdba_exif.txt,exif_files/1_itinerary_3_534fbdba_exif.txt,../exif_files/1_itinerary_3_534fbdba_exif.txt
3_itinerary_1_d448b513,3,itinerary_1,itinerary_1.MP4,3_itinerary_1.MP4_d448b513,5775014007,5507.482535362244,2025-04-11 21:53:41.020,2025-04-11 21:53:41.020,1025.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:31 07:00:54,3_itinerary_1_d448b513_exif.txt,exif_files/3_itinerary_1_d448b513_exif.txt,../exif_files/3_itinerary_1_d448b513_exif.txt
3_itinerary_3_31fe8084,3,itinerary_3,itinerary_3.MP4,3_itinerary_3.MP4_31fe8084,4216305346,4020.9821186065674,2025-04-11 21:38:30.250,2025-04-11 21:38:30.250,748.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:31 08:03:14,3_itinerary_3_31fe8084_exif.txt,exif_files/3_itinerary_3_31fe8084_exif.txt,../exif_files/3_itinerary_3_31fe8084_exif.txt
1_itinerary_5_bd059bc1,1,itinerary_5,itinerary_5.MP4,1_itinerary_5.MP4_bd059bc1,6642985564,6335.244716644287,2025-04-01 04:23:02.500,2025-04-01 04:23:02.500,1179.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 06:41:48,1_itinerary_5_bd059bc1_exif.txt,exif_files/1_itinerary_5_bd059bc1_exif.txt,../exif_files/1_itinerary_5_bd059bc1_exif.txt
1_itinerary_4_454fd644,1,itinerary_4,itinerary_4.MP4,1_itinerary_4.MP4_454fd644,6949927924,6627.967761993408,2025-04-01 04:22:48.120,2025-04-01 04:22:48.120,1233.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 05:48:45,1_itinerary_4_454fd644_exif.txt,exif_files/1_itinerary_4_454fd644_exif.txt,../exif_files/1_itinerary_4_454fd644_exif.txt
4_itinerary_1_2_98ede2eb,4,itinerary_1_2,itinerary_1_2.MP4,4_itinerary_1_2.MP4_98ede2eb,616769416,588.197151184082,2025-04-11 20:53:26.470,2025-04-11 20:53:26.470,109.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:01 06:59:31,4_itinerary_1_2_98ede2eb_exif.txt,exif_files/4_itinerary_1_2_98ede2eb_exif.txt,../exif_files/4_itinerary_1_2_98ede2eb_exif.txt
4_itinerary_10_1_5f852e11,4,itinerary_10_1,itinerary_10_1.MP4,4_itinerary_10_1.MP4_5f852e11,2613808470,2492.722005844116,2025-04-24 22:02:17.370,2025-04-24 22:02:17.370,464.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:01 11:39:38,4_itinerary_10_1_5f852e11_exif.txt,exif_files/4_itinerary_10_1_5f852e11_exif.txt,../exif_files/4_itinerary_10_1_5f852e11_exif.txt
3_itinerary_2_f57717fc,3,itinerary_2,itinerary_2.MP4,3_itinerary_2.MP4_f57717fc,7181013459,6848.348101615906,2025-04-11 22:19:42.010,2025-04-11 22:19:42.010,1274.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:31 07:25:37,3_itinerary_2_f57717fc_exif.txt,exif_files/3_itinerary_2_f57717fc_exif.txt,../exif_files/3_itinerary_2_f57717fc_exif.txt
3_itinerary_6_f8497136,3,itinerary_6,itinerary_6.MP4,3_itinerary_6.MP4_f8497136,5578576719,5320.145339012146,2025-04-11 22:04:31.540,2025-04-11 22:04:31.540,990.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:31 10:24:34,3_itinerary_6_f8497136_exif.txt,exif_files/3_itinerary_6_f8497136_exif.txt,../exif_files/3_itinerary_6_f8497136_exif.txt
3_itinerary_5_42f6ace7,3,itinerary_5,itinerary_5.MP4,3_itinerary_5.MP4_42f6ace7,5900419936,5627.078948974609,2025-04-11 22:06:56.260,2025-04-11 22:06:56.260,1047.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:31 09:18:16,3_itinerary_5_42f6ace7_exif.txt,exif_files/3_itinerary_5_42f6ace7_exif.txt,../exif_files/3_itinerary_5_42f6ace7_exif.txt
1_itinerary_9_ee45370b,1,itinerary_9,itinerary_9.MP4,1_itinerary_9.MP4_ee45370b,8735837582,8331.143934249878,2025-04-01 04:25:10.900,2025-04-01 04:25:10.900,1550.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:27 10:16:00,1_itinerary_9_ee45370b_exif.txt,exif_files/1_itinerary_9_ee45370b_exif.txt,../exif_files/1_itinerary_9_ee45370b_exif.txt
4_itinerary_10_2_4bf2cebd,4,itinerary_10_2,itinerary_10_2.MP4,4_itinerary_10_2.MP4_4bf2cebd,3618202699,3450.5869855880737,2025-04-24 22:07:15.870,2025-04-24 22:07:15.870,642.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:01 11:50:10,4_itinerary_10_2_4bf2cebd_exif.txt,exif_files/4_itinerary_10_2_4bf2cebd_exif.txt,../exif_files/4_itinerary_10_2_4bf2cebd_exif.txt
3_itinerary_8_1_b8ca5c82,3,itinerary_8_1,itinerary_8_1.MP4,3_itinerary_8_1.MP4_b8ca5c82,5862783679,5591.186217308044,2025-04-11 22:08:58.130,2025-04-11 22:08:58.130,1040.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:31 12:20:27,3_itinerary_8_1_b8ca5c82_exif.txt,exif_files/3_itinerary_8_1_b8ca5c82_exif.txt,../exif_files/3_itinerary_8_1_b8ca5c82_exif.txt
4_itinerary_4_9cc4d901,4,itinerary_4,itinerary_4.MP4,4_itinerary_4.MP4_9cc4d901,2339044837,2230.6869859695435,2025-04-24 21:55:49.160,2025-04-24 21:55:49.160,415.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:01 08:53:14,4_itinerary_4_9cc4d901_exif.txt,exif_files/4_itinerary_4_9cc4d901_exif.txt,../exif_files/4_itinerary_4_9cc4d901_exif.txt
3_itinerary_4_28fe432b,3,itinerary_4,itinerary_4.MP4,3_itinerary_4.MP4_28fe432b,7924477566,7557.370725631714,2025-04-11 22:28:31.820,2025-04-11 22:28:31.820,1406.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:31 08:29:52,3_itinerary_4_28fe432b_exif.txt,exif_files/3_itinerary_4_28fe432b_exif.txt,../exif_files/3_itinerary_4_28fe432b_exif.txt
4_itinerary_2_12d017ec,4,itinerary_2,itinerary_2.MP4,4_itinerary_2.MP4_12d017ec,3601006904,3434.1877975463867,2025-04-11 21:39:03.140,2025-04-11 21:39:03.140,639.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:01 07:54:24,4_itinerary_2_12d017ec_exif.txt,exif_files/4_itinerary_2_12d017ec_exif.txt,../exif_files/4_itinerary_2_12d017ec_exif.txt
4_itinerary_8_cb1162bc,4,itinerary_8,itinerary_8.MP4,4_itinerary_8.MP4_cb1162bc,1689224554,1610.9700717926025,2025-04-24 21:56:59.220,2025-04-24 21:56:59.220,300.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:01 11:07:07,4_itinerary_8_cb1162bc_exif.txt,exif_files/4_itinerary_8_cb1162bc_exif.txt,../exif_files/4_itinerary_8_cb1162bc_exif.txt
4_itinerary_5_2_1338017a,4,itinerary_5_2,itinerary_5_2.MP4,4_itinerary_5_2.MP4_1338017a,1910549370,1822.0418643951416,2025-04-24 21:57:15.200,2025-04-24 21:57:15.200,339.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:01 10:01:10,4_itinerary_5_2_1338017a_exif.txt,exif_files/4_itinerary_5_2_1338017a_exif.txt,../exif_files/4_itinerary_5_2_1338017a_exif.txt
4_itinerary_6_fd02fb70,4,itinerary_6,itinerary_6.MP4,4_itinerary_6.MP4_fd02fb70,2078544380,1982.2543907165527,2025-04-24 21:58:46.400,2025-04-24 21:58:46.400,369.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:01 10:29:13,4_itinerary_6_fd02fb70_exif.txt,exif_files/4_itinerary_6_fd02fb70_exif.txt,../exif_files/4_itinerary_6_fd02fb70_exif.txt
5_itinerary_3_2_0d4b3b55,5,itinerary_3_2,itinerary_3_2.MP4,5_itinerary_3_2.MP4_0d4b3b55,354868250,338.4287357330322,2025-04-24 16:59:41.410,2025-04-24 16:59:41.410,63.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:04 08:30:52,5_itinerary_3_2_0d4b3b55_exif.txt,exif_files/5_itinerary_3_2_0d4b3b55_exif.txt,../exif_files/5_itinerary_3_2_0d4b3b55_exif.txt
3_itinerary_7_218663d3,3,itinerary_7,itinerary_7.MP4,3_itinerary_7.MP4_218663d3,7687039424,7330.932067871094,2025-04-11 22:28:02.460,2025-04-11 22:28:02.460,1364.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:31 11:47:22,3_itinerary_7_218663d3_exif.txt,exif_files/3_itinerary_7_218663d3_exif.txt,../exif_files/3_itinerary_7_218663d3_exif.txt
6_itinerary_10_51f13bae,6,itinerary_10,itinerary_10.MP4,6_itinerary_10.MP4_51f13bae,2456126861,2342.3451051712036,2025-05-02 04:25:28.200,2025-05-02 04:25:28.200,436.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:06 09:10:15,6_itinerary_10_51f13bae_exif.txt,exif_files/6_itinerary_10_51f13bae_exif.txt,../exif_files/6_itinerary_10_51f13bae_exif.txt
3_itinerary_8_day_2_d9a68df4,3,itinerary_8_day_2,itinerary_8_day_2.MP4,3_itinerary_8_day_2.MP4_d9a68df4,8670927437,8269.240796089172,2025-04-11 22:33:40.110,2025-04-11 22:33:40.110,1538.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:31 09:53:28,3_itinerary_8_day_2_d9a68df4_exif.txt,exif_files/3_itinerary_8_day_2_d9a68df4_exif.txt,../exif_files/3_itinerary_8_day_2_d9a68df4_exif.txt
5_itinerary_6_a2aa0242,5,itinerary_6,itinerary_6.MP4,5_itinerary_6.MP4_a2aa0242,4611339307,4397.715861320496,2025-04-24 19:59:09.900,2025-04-24 19:59:09.900,818.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:04 11:11:06,5_itinerary_6_a2aa0242_exif.txt,exif_files/5_itinerary_6_a2aa0242_exif.txt,../exif_files/5_itinerary_6_a2aa0242_exif.txt
4_itinerary_3_8cfba1a5,4,itinerary_3,itinerary_3.MP4,4_itinerary_3.MP4_8cfba1a5,8298084494,7913.670057296753,2025-04-24 20:16:34.170,2025-04-24 20:16:34.170,1472.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:01 08:10:47,4_itinerary_3_8cfba1a5_exif.txt,exif_files/4_itinerary_3_8cfba1a5_exif.txt,../exif_files/4_itinerary_3_8cfba1a5_exif.txt
4_itinerary_7_1cc6ad77,4,itinerary_7,itinerary_7.MP4,4_itinerary_7.MP4_1cc6ad77,6846462223,6529.29518032074,2025-04-24 22:19:28.170,2025-04-24 22:19:28.170,1215.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:01 10:41:53,4_itinerary_7_1cc6ad77_exif.txt,exif_files/4_itinerary_7_1cc6ad77_exif.txt,../exif_files/4_itinerary_7_1cc6ad77_exif.txt
5_itinerary_5_288ab4bc,5,itinerary_5,itinerary_5.MP4,5_itinerary_5.MP4_288ab4bc,4966214809,4736.15151309967,2025-04-24 20:01:50.460,2025-04-24 20:01:50.460,881.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:04 10:05:44,5_itinerary_5_288ab4bc_exif.txt,exif_files/5_itinerary_5_288ab4bc_exif.txt,../exif_files/5_itinerary_5_288ab4bc_exif.txt
6_itinerary_4_2_6793566b,6,itinerary_4_2,itinerary_4_2.MP4,6_itinerary_4_2.MP4_6793566b,543422831,518.2483968734741,2025-05-01 20:31:56.330,2025-05-01 20:31:56.330,96.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:06 04:52:30,6_itinerary_4_2_6793566b_exif.txt,exif_files/6_itinerary_4_2_6793566b_exif.txt,../exif_files/6_itinerary_4_2_6793566b_exif.txt
4_itinerary_9_79d3f18e,4,itinerary_9,itinerary_9.MP4,4_itinerary_9.MP4_79d3f18e,6803314821,6488.146611213684,2025-04-24 22:18:01.940,2025-04-24 22:18:01.940,1207.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:01 11:18:51,4_itinerary_9_79d3f18e_exif.txt,exif_files/4_itinerary_9_79d3f18e_exif.txt,../exif_files/4_itinerary_9_79d3f18e_exif.txt
