video_id,video_path,status,error,expected_frames,extracted_frames,duration_sec,fps
1_itinerary_1_1,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_1_1.MP4,ok,,61,60,602.134867,29.97002997002997
1_itinerary_1_2,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_1_2.MP4,ok,,48,48,478.644833,29.97002997002997
1_itinerary_2_1,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_2_1.MP4,ok,,92,91,914.4135,29.97002997002997
1_itinerary_2_2,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_2_2.MP4,ok,,2,1,12.078733,29.97002997002997
1_itinerary_2_3,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_2_3.MP4,ok,,16,16,157.090267,29.97002997002997
1_itinerary_3,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_3.MP4,ok,,104,104,1037.302933,29.97002997002997
1_itinerary_4,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_4.MP4,ok,,124,123,1232.998433,29.97002997002997
1_itinerary_5,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_5.MP4,ok,,118,118,1178.544033,29.97002997002997
1_itinerary_6,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_6.MP4,ok,,102,101,1011.577233,29.97002997002997
1_itinerary_7,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_7.MP4,ok,,79,78,780.312867,29.97002997002997
1_itinerary_8_1,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_8_1.MP4,ok,,15,14,141.608133,29.97002997002997
1_itinerary_8_2,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_8_2.MP4,ok,,62,61,610.943667,29.97002997002997
1_itinerary_9,/Volumes/Samsung USB/missing_women/mumbai_vids/1/itinerary_9.MP4,ok,,155,155,1549.8483,29.97002997002997
2_dadar_flower_market,/Volumes/Samsung USB/missing_women/mumbai_vids/2/dadar_flower_market.MP4,ok,,59,59,586.652733,29.97002997002997
2_itinerary_1_2,/Volumes/Samsung USB/missing_women/mumbai_vids/2/itinerary_1_2.MP4,ok,,11,11,107.240467,29.97002997002997
2_itinerary_2_2,/Volumes/Samsung USB/missing_women/mumbai_vids/2/itinerary_2_2.MP4,ok,,6,5,52.719333,29.97002997002997
2_itinerary_5_2,/Volumes/Samsung USB/missing_women/mumbai_vids/2/itinerary_5_2.MP4,ok,,29,29,288.921967,29.97002997002997
3_itinerary_1,/Volumes/Samsung USB/missing_women/mumbai_vids/3/itinerary_1.MP4,ok,,103,102,1024.590233,29.97002997002997
3_itinerary_2,/Volumes/Samsung USB/missing_women/mumbai_vids/3/itinerary_2.MP4,ok,,128,127,1273.939333,29.97002997002997
3_itinerary_3,/Volumes/Samsung USB/missing_women/mumbai_vids/3/itinerary_3.MP4,ok,,75,75,748.013933,29.97002997002997
3_itinerary_4,/Volumes/Samsung USB/missing_women/mumbai_vids/3/itinerary_4.MP4,ok,,141,141,1405.871133,29.97002997002997
3_itinerary_5,/Volumes/Samsung USB/missing_women/mumbai_vids/3/itinerary_5.MP4,ok,,105,105,1046.812433,29.97002997002997
3_itinerary_6,/Volumes/Samsung USB/missing_women/mumbai_vids/3/itinerary_6.MP4,ok,,99,99,989.6887,29.97002997002997
3_itinerary_7,/Volumes/Samsung USB/missing_women/mumbai_vids/3/itinerary_7.MP4,ok,,137,136,1363.729033,29.97002997002997
3_itinerary_8_1,/Volumes/Samsung USB/missing_women/mumbai_vids/3/itinerary_8_1.MP4,ok,,105,104,1040.149333,29.97002997002997
3_itinerary_8_day_2,/Volumes/Samsung USB/missing_women/mumbai_vids/3/itinerary_8_day_2.MP4,ok,,154,154,1538.3368,29.97002997002997
4_itinerary_10_1,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_10_1.MP4,ok,,47,46,463.696567,29.97002997002997
4_itinerary_10_2,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_10_2.MP4,ok,,65,64,641.9413,29.97002997002997
4_itinerary_1_1,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_1_1.MP4,ok,,212,211,2114.112,29.97002997002997
4_itinerary_1_2,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_1_2.MP4,ok,,11,11,109.442667,29.97002997002997
4_itinerary_2,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_2.MP4,ok,,64,64,638.904933,29.97002997002997
4_itinerary_3,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_3.MP4,ok,,148,147,1472.204067,29.97002997002997
4_itinerary_4,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_4.MP4,ok,,42,41,414.981233,29.97002997002997
4_itinerary_5_1,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_5_1.MP4,ok,,167,166,1664.396067,29.97002997002997
4_itinerary_5_2,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_5_2.MP4,ok,,34,34,338.971967,29.97002997002997
4_itinerary_6,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_6.MP4,ok,,37,37,368.7684,29.97002997002997
4_itinerary_7,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_7.MP4,ok,,122,121,1214.646767,29.97002997002997
4_itinerary_8,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_8.MP4,ok,,30,30,299.666033,29.97002997002997
4_itinerary_9,/Volumes/Samsung USB/missing_women/mumbai_vids/4/itinerary_9.MP4,ok,,121,121,1206.972433,29.97002997002997
5_itinerary_1,/Volumes/Samsung USB/missing_women/mumbai_vids/5/itinerary_1.MP4,ok,,151,150,1504.436267,29.97002997002997
5_itinerary_2,/Volumes/Samsung USB/missing_women/mumbai_vids/5/itinerary_2.MP4,ok,,192,191,1914.3124,29.97002997002997
5_itinerary_3_1,/Volumes/Samsung USB/missing_women/mumbai_vids/5/itinerary_3_1.MP4,ok,,212,211,2114.112,29.97002997002997
5_itinerary_3_2,/Volumes/Samsung USB/missing_women/mumbai_vids/5/itinerary_3_2.MP4,ok,,7,6,62.896167,29.97002997002997
5_itinerary_5,/Volumes/Samsung USB/missing_women/mumbai_vids/5/itinerary_5.MP4,ok,,89,88,881.247033,29.97002997002997
5_itinerary_6,/Volumes/Samsung USB/missing_women/mumbai_vids/5/itinerary_6.MP4,ok,,82,82,818.083933,29.97002997002997
6_grant.rd_byculla,/Volumes/Samsung USB/missing_women/mumbai_vids/6/grant.rd_byculla.MP4,ok,,128,128,1277.442833,29.97002997002997
6_itinerary_1,/Volumes/Samsung USB/missing_women/mumbai_vids/6/itinerary_1.MP4,ok,,169,168,1680.8792,29.97002997002997
6_itinerary_10,/Volumes/Samsung USB/missing_women/mumbai_vids/6/itinerary_10.MP4,ok,,44,44,435.802033,29.97002997002997
6_itinerary_2,/Volumes/Samsung USB/missing_women/mumbai_vids/6/itinerary_2.MP4,ok,,96,96,957.723433,29.97002997002997
6_itinerary_3,/Volumes/Samsung USB/missing_women/mumbai_vids/6/itinerary_3.MP4,ok,,89,89,889.922367,29.97002997002997
6_itinerary_4_1,/Volumes/Samsung USB/missing_women/mumbai_vids/6/itinerary_4_1.MP4,ok,,212,211,2114.112,29.97002997002997
6_itinerary_4_2,/Volumes/Samsung USB/missing_women/mumbai_vids/6/itinerary_4_2.MP4,ok,,10,10,96.3963,29.97002997002997
6_itinerary_5,/Volumes/Samsung USB/missing_women/mumbai_vids/6/itinerary_5.MP4,ok,,106,105,1051.818667,29.97002997002997
6_itinerary_6,/Volumes/Samsung USB/missing_women/mumbai_vids/6/itinerary_6.MP4,ok,,53,53,527.808,29.97002997002997
6_itinerary_7,/Volumes/Samsung USB/missing_women/mumbai_vids/6/itinerary_7.MP4,ok,,60,59,593.7932,29.97002997002997
6_itinerary_9,/Volumes/Samsung USB/missing_women/mumbai_vids/6/itinerary_9.MP4,ok,,67,67,668.634633,29.97002997002997
7_itinerary_1 (1),/Volumes/Samsung USB/missing_women/mumbai_vids/7/itinerary_1 (1).MP4,ok,,36,36,358.491467,29.97002997002997
7_itinerary_10_1,/Volumes/Samsung USB/missing_women/mumbai_vids/7/itinerary_10_1.MP4,ok,,51,50,504.570733,29.97002997002997
