video_id,source_folder,video_name,original_video_filename,unique_video_filename,file_size_bytes,file_size_mb,file_created_at,file_modified_at,video_duration_sec,video_fps,video_resolution_wxh,video_codec,camera_model,recording_datetime,exif_filename,exif_file_path,exif_relative_path
10_itinerary_4_2_d62b40dd,10,itinerary_4_2,itinerary_4_2.MP4,10_itinerary_4_2.MP4_d62b40dd,999809707,953.4928388595581,2025-05-01 14:41:05.540,2025-05-01 14:41:05.540,177.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 05:24:16,10_itinerary_4_2_d62b40dd_exif.txt,exif_files/10_itinerary_4_2_d62b40dd_exif.txt,../exif_files/10_itinerary_4_2_d62b40dd_exif.txt
10_itinerary_9_7229bd98,10,itinerary_9,itinerary_9.MP4,10_itinerary_9.MP4_7229bd98,2351623328,2242.6827697753906,2025-05-01 15:21:31.250,2025-05-01 15:21:31.250,417.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 09:46:15,10_itinerary_9_7229bd98_exif.txt,exif_files/10_itinerary_9_7229bd98_exif.txt,../exif_files/10_itinerary_9_7229bd98_exif.txt
10_itinerary_1_166d42e8,10,itinerary_1,itinerary_1.MP4,10_itinerary_1.MP4_166d42e8,3637756677,3469.2351121902466,2025-05-01 13:09:02.550,2025-05-01 13:09:02.550,645.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 03:54:24,10_itinerary_1_166d42e8_exif.txt,exif_files/10_itinerary_1_166d42e8_exif.txt,../exif_files/10_itinerary_1_166d42e8_exif.txt
10_itinerary_11_7c12e80b,10,itinerary_11,itinerary_11.MP4,10_itinerary_11.MP4_7c12e80b,3844689984,3666.5820922851562,2025-05-01 16:05:57.750,2025-05-01 16:05:57.750,682.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 10:38:06,10_itinerary_11_7c12e80b_exif.txt,exif_files/10_itinerary_11_7c12e80b_exif.txt,../exif_files/10_itinerary_11_7c12e80b_exif.txt
10_itinerary_6_2_300f8d4e,10,itinerary_6_2,itinerary_6_2.MP4,10_itinerary_6_2.MP4_300f8d4e,3975716531,3791.5387449264526,2025-05-01 16:09:01.360,2025-05-01 16:09:01.360,706.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 07:45:43,10_itinerary_6_2_300f8d4e_exif.txt,exif_files/10_itinerary_6_2_300f8d4e_exif.txt,../exif_files/10_itinerary_6_2_300f8d4e_exif.txt
10_itinerary_7_46ae239e,10,itinerary_7,itinerary_7.MP4,10_itinerary_7.MP4_46ae239e,4059967175,3871.886420249939,2025-12-29 09:43:38.620,2025-12-29 09:43:38.620,720.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 08:58:07,10_itinerary_7_46ae239e_exif.txt,exif_files/10_itinerary_7_46ae239e_exif.txt,../exif_files/10_itinerary_7_46ae239e_exif.txt
10_itinerary_5_5ba7a4ba,10,itinerary_5,itinerary_5.MP4,10_itinerary_5.MP4_5ba7a4ba,4588271730,4375.716905593872,2025-05-01 16:21:19.360,2025-05-01 16:21:19.360,814.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 06:33:27,10_itinerary_5_5ba7a4ba_exif.txt,exif_files/10_itinerary_5_5ba7a4ba_exif.txt,../exif_files/10_itinerary_5_5ba7a4ba_exif.txt
10_itinerary_2_82ad928b,10,itinerary_2,itinerary_2.MP4,10_itinerary_2.MP4_82ad928b,4842916990,4618.565549850464,2025-05-01 16:29:17.760,2025-05-01 16:29:17.760,859.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 04:32:39,10_itinerary_2_82ad928b_exif.txt,exif_files/10_itinerary_2_82ad928b_exif.txt,../exif_files/10_itinerary_2_82ad928b_exif.txt
10_itinerary_3_ab76dded,10,itinerary_3,itinerary_3.MP4,10_itinerary_3.MP4_ab76dded,5300253029,5054.715184211731,2025-05-01 13:17:04.920,2025-05-01 13:17:04.920,940.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 04:57:14,10_itinerary_3_ab76dded_exif.txt,exif_files/10_itinerary_3_ab76dded_exif.txt,../exif_files/10_itinerary_3_ab76dded_exif.txt
11_itinerary_3_2_c38f88ef,11,itinerary_3_2,itinerary_3_2.MP4,11_itinerary_3_2.MP4_c38f88ef,773586026,737.7491245269775,2025-05-01 19:18:29.790,2025-05-01 19:18:29.790,137.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:18 08:04:08,11_itinerary_3_2_c38f88ef_exif.txt,exif_files/11_itinerary_3_2_c38f88ef_exif.txt,../exif_files/11_itinerary_3_2_c38f88ef_exif.txt
11_itinerary_1_1_c1454011,11,itinerary_1_1,itinerary_1_1.MP4,11_itinerary_1_1.MP4_c1454011,2006203698,1913.2649402618408,2025-05-01 19:26:44.250,2025-05-01 19:26:44.250,356.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:18 06:51:56,11_itinerary_1_1_c1454011_exif.txt,exif_files/11_itinerary_1_1_c1454011_exif.txt,../exif_files/11_itinerary_1_1_c1454011_exif.txt
10_itinerary_8_c8c244a1,10,itinerary_8,itinerary_8.MP4,10_itinerary_8.MP4_c8c244a1,5762407751,5495.4602727890015,2025-12-28 17:58:00.700,2025-12-28 17:58:00.700,1022.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 09:20:02,10_itinerary_8_c8c244a1_exif.txt,exif_files/10_itinerary_8_c8c244a1_exif.txt,../exif_files/10_itinerary_8_c8c244a1_exif.txt
10_mumbai_central-byculla_369fc47f,10,mumbai_central-byculla,mumbai_central-byculla.MP4,10_mumbai_central-byculla.MP4_369fc47f,5828592700,5558.579158782959,2025-12-29 09:36:39.040,2025-12-29 09:36:39.040,1034.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 11:27:46,10_mumbai_central-byculla_369fc47f_exif.txt,exif_files/10_mumbai_central-byculla_369fc47f_exif.txt,../exif_files/10_mumbai_central-byculla_369fc47f_exif.txt
11_itinerary_11_1_39ca25e9,11,itinerary_11_1,itinerary_11_1.MP4,11_itinerary_11_1.MP4_39ca25e9,2758765105,2630.9634256362915,2025-12-29 10:27:33.120,2025-12-29 10:27:33.120,666.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:18 12:32:58,11_itinerary_11_1_39ca25e9_exif.txt,exif_files/11_itinerary_11_1_39ca25e9_exif.txt,../exif_files/11_itinerary_11_1_39ca25e9_exif.txt
10_itinerary_12_c70b6c34,10,itinerary_12,itinerary_12.MP4,10_itinerary_12.MP4_c70b6c34,6535815580,6233.039455413818,2025-12-29 09:36:06.730,2025-12-29 09:36:06.730,1160.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:17 11:07:49,10_itinerary_12_c70b6c34_exif.txt,exif_files/10_itinerary_12_c70b6c34_exif.txt,../exif_files/10_itinerary_12_c70b6c34_exif.txt
11_itinerary_10_08a829e5,11,itinerary_10,itinerary_10.MP4,11_itinerary_10.MP4_08a829e5,5565444805,5307.62176990509,2025-12-29 10:29:38.050,2025-12-29 10:29:38.050,1034.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:18 12:13:59,11_itinerary_10_08a829e5_exif.txt,exif_files/11_itinerary_10_08a829e5_exif.txt,../exif_files/11_itinerary_10_08a829e5_exif.txt
