route_id,cluster_id,n_points,length_km,travel_time_min
1,18,279,19.95415238810618,40.84110450129881
2,18,52,5.392535012599634,8.63756017630953
3,16,231,19.89259297122257,30.516865313717343
4,16,104,12.53816280243235,24.70053898812767
5,15,396,19.692302667017056,44.893797594238364
6,15,219,18.693573850484995,41.2851462313141
7,15,3,1.8404936818163484,2.3733225809579253
8,2,436,19.937538924280002,44.76649847765415
9,2,188,19.994994347174416,38.649573284071344
10,2,53,5.951913688446121,10.651472869921772
11,12,408,19.990130310573807,43.019590086119734
12,12,151,17.92848813928644,31.613369752623516
13,12,5,3.0157782943155222,5.079525865970881
14,13,213,19.71008582174512,36.53293029166095
15,13,102,13.919410518172048,28.840564433828334
16,0,358,19.98257292719407,41.24225462136287
17,0,138,13.460141956150768,19.84887828661556
18,8,289,19.952420318118218,36.030770757400326
19,8,159,16.944035581699197,30.76474682576359
20,14,421,19.960031050641636,45.84057808684947
21,14,106,15.18808263972223,24.07138169207621
22,4,418,19.91529334175434,42.8275531253985
23,4,249,19.386496715636547,36.52697977944528
24,4,27,10.030930002189669,15.721976192478023
25,5,201,18.820588647914775,33.708995226261365
26,5,162,15.830731117860335,27.365358867762104
27,5,25,9.142235198560408,14.166583708227668
28,19,229,19.974922269708227,40.79391256329334
29,19,264,19.84500802371652,43.66932829337032
30,19,16,4.763960728789711,7.710951421769283
31,3,401,19.368984386940852,39.40093876389236
32,3,179,19.077195091175593,28.88580178394496
33,3,9,2.9733557220597957,6.503249914318732
34,9,301,19.48199507197639,34.668605847520794
35,9,220,19.95578769815059,34.41450716793117
36,9,51,2.0221301653617814,4.894184345411369
37,6,310,19.947114294931257,39.755929223353185
38,6,262,15.743987754291746,30.00035192836925
39,11,385,19.96237509825697,44.46835835458463
40,11,84,19.87802928081498,25.582815311778145
41,11,22,4.125163154384056,7.991607894805265
